# 채취일시: 2026-07-31T14:36:40.208Z / 대상: 코드 정적 스캔 (env 구분 없음)
# 패턴: localStorage.getItem/setItem/removeItem
# operation: getItem=read, setItem/removeItem=write
# 키가 변수·상수면 원문 표현을 그대로 두고 "(비리터럴)" 표기
# localStorage.clear() 및 sessionStorage 는 대상 외
key_name,operation,file_path,line_no
STYLE_TYPE_KEY (비리터럴),write,src/app/landing/survey/page.tsx,147
STYLE_TYPE_KEY (비리터럴),read,src/app/onboarding/style-result/page.tsx,83
STYLE_TYPE_KEY (비리터럴),read,src/app/onboarding/style-test/page.tsx,129
STYLE_TYPE_KEY (비리터럴),write,src/app/onboarding/style-test/page.tsx,152
SUBJECT_KEY (비리터럴),read,src/app/lesson/[chapterId]/page.tsx,320
SUBJECT_KEY (비리터럴),read,src/app/lesson/[chapterId]/page.tsx,336
SUBJECT_KEY (비리터럴),read,src/app/lesson/[chapterId]/page.tsx,541
SUBJECT_KEY (비리터럴),read,src/app/lesson/[chapterId]/page.tsx,714
SUBJECT_KEY (비리터럴),read,src/app/report/[chapterId]/page.tsx,75
SUBJECT_KEY (비리터럴),read,src/app/review/[chapterId]/page.tsx,51
SUBJECTS_KEY (비리터럴),read,src/app/select-subject/page.tsx,177
SUBJECTS_KEY (비리터럴),write,src/app/select-subject/page.tsx,272
SUBJECTS_KEY (비리터럴),read,src/app/trainer/dashboard/page.tsx,535
SUBJECTS_KEY (비리터럴),write,src/app/trainer/dashboard/page.tsx,544
SUBJECTS_KEY (비리터럴),read,src/app/trainer/dashboard/page.tsx,552
SUBJECTS_KEY (비리터럴),write,src/app/trainer/dashboard/page.tsx,684
SUBJECTS_KEY (비리터럴),write,src/app/trainer/dashboard/page.tsx,1116
SUBJECTS_KEY (비리터럴),read,src/app/trainer/profile/page.tsx,61
